------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 202.0000-203.0000 sec   382 MBytes  3.21 Gbits/sec
[  1] 203.0000-204.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 204.0000-205.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 205.0000-206.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 206.0000-207.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 207.0000-208.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 208.0000-209.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 209.0000-210.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 210.0000-211.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 211.0000-212.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 212.0000-213.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 213.0000-214.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 214.0000-215.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 215.0000-216.0000 sec   387 MBytes  3.24 Gbits/sec
[  1] 216.0000-217.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 217.0000-218.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 218.0000-219.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 219.0000-220.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 220.0000-221.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 221.0000-222.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 222.0000-223.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 223.0000-224.0000 sec   382 MBytes  3.21 Gbits/sec
[  1] 224.0000-225.0000 sec   386 MBytes  3.23 Gbits/sec
[  1] 225.0000-226.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 226.0000-227.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 227.0000-228.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 228.0000-229.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 229.0000-230.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 230.0000-231.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 231.0000-232.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 232.0000-233.0000 sec   382 MBytes  3.21 Gbits/sec
[  1] 233.0000-234.0000 sec   380 MBytes  3.19 Gbits/sec
[  1] 234.0000-235.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 235.0000-236.0000 sec   392 MBytes  3.29 Gbits/sec
[  1] 236.0000-237.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 237.0000-238.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 238.0000-239.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 239.0000-240.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 240.0000-241.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 241.0000-242.0000 sec   381 MBytes  3.19 Gbits/sec
[  1] 242.0000-243.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 243.0000-244.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 244.0000-245.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 245.0000-246.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 246.0000-247.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 247.0000-248.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 248.0000-249.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 249.0000-250.0000 sec   384 MBytes  3.22 Gbits/sec
